index,AGEB,P_TOTAL,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT,P_0A5
3133,7644,1741.0,104.0,8.134400000000001,2.1152,503.0,0.9588,3.4183999999999997,168.0,729.0,225.0
3159,7659,943.0,60.0,8.05625,2.014375,344.0,1.21625,3.26125,92.0,394.0,100.0
3176,7663,1329.0,120.0,9.982692307692307,1.8069230769230769,433.0,0.8099999999999999,3.0146153846153845,256.0,383.0,109.0
3203,7678,1840.0,116.0,9.3236,1.8756,635.0,0.8862000000000001,3.1245999999999996,227.0,641.0,180.0
3254,7682,1401.0,147.0,8.858095238095238,2.019761904761905,515.0,0.8269047619047618,2.9585714285714286,301.0,628.0,113.0
3297,7697,2057.0,224.0,8.196181818181817,2.164727272727273,682.0,0.8329090909090909,2.8543636363636367,271.0,928.0,210.0
3353,770A,1358.0,185.0,12.059310344827587,1.8824137931034484,461.0,0.7006896551724138,3.2082758620689655,301.0,424.0,115.0
3383,7714,2885.0,295.0,9.091176470588236,1.963529411764706,982.0,0.746764705882353,2.8864705882352943,444.0,944.0,283.0
3418,7729,2311.0,359.0,12.346774193548388,1.832258064516129,806.0,0.6674193548387097,3.081290322580645,523.0,719.0,169.0
3450,7733,1968.0,331.0,10.214117647058822,1.7923529411764705,746.0,0.6941176470588236,2.7026470588235294,417.0,718.0,127.0
3485,7748,1723.0,256.0,11.761944444444445,1.6475,648.0,0.6588888888888889,2.7750000000000004,423.0,642.0,177.0
3522,7752,2940.0,326.0,10.683235294117647,1.7958823529411765,1151.0,0.7429411764705883,2.9497058823529407,583.0,754.0,264.0
3557,7767,1217.0,238.0,11.450666666666667,1.8226666666666667,445.0,0.6839999999999999,2.9506666666666663,279.0,374.0,94.0
3573,7771,2107.0,388.0,12.001176470588236,1.4032352941176471,888.0,0.5576470588235294,2.4011764705882355,584.0,754.0,116.0
3608,7786,2511.0,339.0,10.983928571428573,1.97,919.0,0.6932142857142857,2.9964285714285714,525.0,730.0,196.0
3637,7790,2834.0,241.0,9.570204081632653,1.6175510204081633,1009.0,0.7677551020408163,2.631020408163265,459.0,1182.0,281.0
3687,7818,2506.0,226.0,8.8635,2.05125,772.0,0.9630000000000001,3.3240000000000003,345.0,944.0,298.0
3728,7822,2686.0,205.0,8.815686274509805,1.8941176470588235,893.0,0.9627450980392157,3.230392156862745,364.0,922.0,335.0
3780,7837,1780.0,270.0,11.460294117647058,1.793235294117647,788.0,0.7255882352941176,2.5985294117647055,387.0,488.0,126.0
3815,7841,1874.0,315.0,10.905,1.9669999999999999,741.0,0.6873333333333334,2.6866666666666665,394.0,587.0,111.0
3846,7856,1553.0,379.0,12.254390243902439,1.7821951219512193,650.0,0.5182926829268293,2.4539024390243904,469.0,474.0,28.0
3888,7860,1218.0,307.0,11.136176470588236,1.675,480.0,0.4988235294117647,2.448529411764706,330.0,418.0,47.0
3923,7875,2048.0,322.0,11.928571428571429,1.8796428571428572,808.0,0.6539285714285714,2.835,481.0,589.0,164.0
3952,788A,1584.0,207.0,11.674137931034483,1.9855172413793103,578.0,0.7862068965517242,3.0799999999999996,348.0,463.0,126.0
3982,7894,1617.0,234.0,10.793055555555556,2.09,598.0,0.7827777777777778,3.018888888888889,308.0,486.0,102.0
4019,7907,1281.0,99.0,9.726774193548387,1.7929032258064515,450.0,0.7277419354838709,3.0880645161290325,232.0,314.0,74.0
4051,7911,1979.0,347.0,10.853953488372092,2.001860465116279,731.0,0.7588372093023257,3.137906976744186,438.0,527.0,96.0
4095,7926,3030.0,455.0,9.593333333333334,1.9124999999999999,1039.0,0.6675,2.7905555555555557,563.0,763.0,245.0
4132,7930,4254.0,480.0,10.677727272727273,2.080909090909091,1486.0,0.7952272727272728,3.1375,752.0,1404.0,338.0
4177,7945,2564.0,218.0,10.598260869565218,2.0069565217391303,876.0,0.883695652173913,3.246086956521739,465.0,728.0,325.0
4224,795A,2620.0,326.0,11.216041666666667,1.5891666666666666,920.0,0.6224999999999999,2.8654166666666665,653.0,848.0,218.0
4273,7964,2479.0,534.0,12.951063829787236,1.6740425531914893,990.0,0.5608510638297872,2.93468085106383,714.0,857.0,106.0
4760,8089,1367.0,97.0,9.011086956521739,1.6106521739130435,488.0,0.8178260869565217,2.802826086956522,245.0,566.0,148.0
