index,AGEB,MZA,P_TOTAL,POB65_MAS,GRAPROES,PROM_HNV,VIVTOT,PRO_OCUP_C,PROM_OCUP,VPH_PC,OTRAENT,P_0A5
449,0581,8,71.0,18.0,12.35,2.22,28.0,0.55,2.84,15.0,21.0,11.0
450,0581,9,42.0,5.0,12.94,2.36,12.0,0.57,3.5,9.0,13.0,11.0
451,0581,10,52.0,8.0,12.07,2.17,26.0,0.54,2.74,12.0,18.0,11.0
452,0581,11,60.0,9.0,11.72,1.96,29.0,0.67,3.0,15.0,13.0,5.0
453,0581,12,59.0,10.0,12.0,1.87,21.0,0.68,2.95,16.0,20.0,5.0
454,0581,13,93.0,9.0,13.64,1.27,38.0,0.67,2.91,26.0,23.0,9.0
455,0581,14,25.0,6.0,11.05,3.14,16.0,0.5,3.13,6.0,9.0,4.0
456,0581,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
457,0581,16,45.0,0.0,13.62,1.3,19.0,0.6,2.81,12.0,5.0,0.0
458,0581,17,92.0,12.0,12.58,1.56,29.0,0.63,3.54,20.0,30.0,7.0
459,0581,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
460,0581,19,68.0,6.0,11.03,1.74,26.0,0.62,2.56,7.0,22.0,0.0
461,0581,20,24.0,4.0,10.3,1.73,13.0,0.39,2.67,6.0,6.0,0.0
462,0581,22,13.0,4.0,9.6,3.83,4.0,0.72,3.25,6.0,6.0,0.0
463,0581,23,3.0,4.0,9.6,3.83,1.0,0.72,3.25,6.0,6.0,0.0
464,0581,25,64.0,4.0,10.26,1.67,18.0,0.74,3.56,11.0,26.0,0.0
465,0581,26,12.0,4.0,14.42,0.89,5.0,0.63,2.4,3.0,26.0,0.0
467,0613,1,337.0,12.0,7.39,2.31,96.0,1.22,4.01,23.0,147.0,35.0
468,0613,2,76.0,3.0,7.22,2.59,25.0,1.15,3.8,7.0,25.0,8.0
469,0613,4,91.0,3.0,9.28,2.19,34.0,0.83,3.14,13.0,21.0,10.0
470,0613,5,105.0,5.0,7.51,3.71,37.0,0.92,3.89,6.0,41.0,11.0
471,0613,6,213.0,11.0,8.2,2.11,67.0,0.88,3.44,18.0,73.0,20.0
472,0613,7,148.0,11.0,8.36,2.36,43.0,0.92,3.89,12.0,51.0,21.0
473,0613,8,62.0,4.0,8.59,2.19,22.0,0.98,3.44,4.0,8.0,11.0
474,0613,9,68.0,7.0,9.64,2.38,29.0,0.77,3.24,8.0,26.0,6.0
475,0613,10,68.0,3.0,7.82,2.52,18.0,1.17,4.53,4.0,27.0,9.0
476,0613,13,41.0,8.0,7.7,3.05,16.0,0.67,2.93,4.0,18.0,9.0
477,0613,17,11.0,8.0,7.7,3.05,2.0,0.67,2.93,4.0,18.0,9.0
478,0613,20,72.0,5.0,7.29,2.77,21.0,1.13,4.0,4.0,31.0,8.0
479,0613,21,37.0,4.0,7.0,3.5,13.0,0.8,3.36,6.0,18.0,8.0
480,0613,22,51.0,0.0,8.16,2.5,12.0,1.09,4.25,4.0,10.0,8.0
481,0613,23,69.0,0.0,8.37,2.95,17.0,1.28,4.6,6.0,31.0,13.0
482,0613,26,35.0,0.0,9.21,2.07,9.0,1.21,4.38,4.0,13.0,6.0
483,0613,28,58.0,0.0,7.3,2.43,11.0,1.23,5.27,4.0,19.0,7.0
484,0613,34,146.0,8.0,7.91,2.52,44.0,1.05,3.56,9.0,54.0,16.0
485,0613,36,42.0,3.0,7.48,2.46,16.0,0.75,3.23,5.0,14.0,16.0
486,0613,38,44.0,3.0,7.11,2.78,17.0,1.22,3.14,3.0,23.0,16.0
487,0613,39,192.0,7.0,7.96,2.18,56.0,1.11,4.0,16.0,73.0,16.0
488,0613,40,38.0,7.0,8.19,2.92,13.0,1.19,4.22,0.0,11.0,16.0
490,0628,1,170.0,19.0,10.44,2.07,67.0,0.67,3.15,30.0,47.0,12.0
491,0628,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
492,0628,4,71.0,7.0,13.36,1.81,39.0,0.54,2.73,24.0,27.0,9.0
493,0628,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
494,0628,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
495,0628,7,46.0,11.0,14.44,1.96,17.0,0.44,2.71,17.0,17.0,0.0
496,0628,8,57.0,14.0,14.31,1.41,22.0,0.48,3.0,18.0,13.0,0.0
497,0628,9,72.0,4.0,15.18,1.54,30.0,0.55,3.13,20.0,26.0,6.0
498,0628,15,42.0,4.0,8.79,2.67,13.0,0.93,3.5,20.0,22.0,8.0
499,0628,16,17.0,4.0,10.5,2.33,6.0,0.74,3.5,20.0,7.0,0.0
500,0628,17,8.0,4.0,11.67,2.0,6.0,0.5,2.67,20.0,8.0,0.0
501,0628,18,125.0,19.0,13.97,1.89,46.0,0.46,3.21,38.0,52.0,3.0
502,0628,23,61.0,19.0,9.02,2.46,16.0,0.88,4.07,8.0,11.0,8.0
503,0628,24,42.0,5.0,10.35,1.95,8.0,1.31,5.25,5.0,10.0,3.0
504,0628,25,78.0,6.0,8.83,2.82,20.0,0.89,3.9,4.0,18.0,7.0
505,0628,26,28.0,4.0,15.92,1.13,13.0,0.43,2.8,10.0,9.0,0.0
506,0628,32,21.0,4.0,10.53,2.0,5.0,0.84,4.2,3.0,9.0,0.0
507,0628,33,158.0,28.0,9.29,2.29,48.0,0.82,4.08,24.0,32.0,4.0
508,0628,36,31.0,28.0,9.04,2.55,14.0,0.89,2.82,4.0,11.0,4.0
509,0628,37,6.0,28.0,9.04,2.55,2.0,0.89,2.82,4.0,11.0,4.0
510,0628,38,27.0,0.0,9.73,1.88,13.0,0.87,3.0,4.0,5.0,4.0
511,0628,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
512,0628,44,28.0,0.0,14.59,1.64,8.0,0.6,3.5,7.0,3.0,0.0
513,0628,51,6.0,0.0,14.59,1.64,1.0,0.6,3.5,7.0,3.0,0.0
514,0628,52,26.0,0.0,9.0,3.0,6.0,1.04,5.2,7.0,3.0,0.0
515,0628,53,56.0,8.0,11.06,2.09,17.0,0.77,3.29,9.0,21.0,0.0
516,0628,54,72.0,6.0,9.96,2.14,31.0,0.86,3.27,10.0,37.0,9.0
517,0628,55,30.0,0.0,9.55,2.33,17.0,1.11,3.33,3.0,7.0,9.0
518,0628,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
519,0628,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520,0628,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521,0628,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
522,0628,60,140.0,0.0,12.75,1.43,43.0,0.65,3.68,34.0,14.0,19.0
523,0628,61,36.0,0.0,14.35,0.94,13.0,0.55,3.6,10.0,10.0,6.0
524,0628,62,30.0,0.0,15.5,1.27,9.0,0.67,3.75,6.0,13.0,4.0
525,0628,63,3.0,0.0,15.5,1.27,3.0,0.67,3.75,6.0,13.0,4.0
526,0628,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
527,0628,65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
528,0628,66,71.0,0.0,12.66,1.31,22.0,0.68,3.74,18.0,9.0,5.0
529,0628,67,83.0,0.0,12.64,1.29,27.0,0.61,3.32,21.0,8.0,10.0
530,0628,68,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
531,0628,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
532,0628,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
533,0628,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
534,0628,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,0628,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
536,0628,74,9.0,0.0,16.0,1.25,3.0,0.53,3.0,3.0,0.0,0.0
538,0632,1,12.0,0.0,16.0,1.25,1.0,0.53,3.0,3.0,0.0,0.0
539,0632,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
540,0632,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
541,0632,4,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
542,0632,5,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
543,0632,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
544,0632,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
545,0632,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
546,0632,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
547,0632,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
548,0632,12,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
549,0632,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
550,0632,14,5.0,0.0,9.0,5.33,3.0,0.0,1.67,0.0,4.0,0.0
551,0632,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552,0632,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
553,0632,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
554,0632,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
555,0632,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
556,0632,20,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
558,0647,1,261.0,8.0,14.43,1.44,110.0,0.49,3.11,74.0,75.0,17.0
559,0647,13,38.0,5.0,13.33,2.2,13.0,0.4,3.5,8.0,14.0,17.0
560,0647,14,25.0,4.0,14.35,2.27,13.0,0.43,2.78,8.0,10.0,0.0
561,0647,15,47.0,10.0,14.95,2.18,13.0,0.57,3.67,11.0,13.0,0.0
562,0647,16,39.0,10.0,15.08,1.44,14.0,0.43,3.0,7.0,9.0,0.0
563,0647,27,80.0,9.0,14.0,1.65,32.0,0.52,2.96,23.0,20.0,0.0
564,0647,35,41.0,9.0,13.89,1.92,18.0,0.49,2.73,15.0,10.0,0.0
565,0647,36,19.0,0.0,15.73,1.38,7.0,0.48,3.17,5.0,4.0,0.0
566,0647,37,61.0,10.0,12.9,1.61,26.0,0.57,3.39,15.0,28.0,6.0
567,0647,41,77.0,17.0,13.63,2.05,30.0,0.46,2.85,23.0,30.0,6.0
568,0647,42,116.0,26.0,13.61,1.77,44.0,0.5,2.83,33.0,46.0,8.0
569,0647,43,27.0,7.0,12.64,2.38,9.0,0.47,3.0,8.0,10.0,0.0
